CustomerKey,First trade,Last trade,Total volume,Number of trade,% bike,% clothing,% accessories
11126,28/05/2014,06/11/2016,"4972,37",8,"37,50%","0,00%","62,50%"
12307,29/05/2014,20/11/2016,"22785,77",11,"45,45%","9,09%","45,45%"
14697,29/05/2014,02/10/2016,"9013,57",6,"50,00%","0,00%","50,00%"
28661,29/05/2014,29/05/2014,"3578,27",1,"100,00%","0,00%","0,00%"
18251,29/05/2014,07/02/2016,"6035,6",4,"50,00%","0,00%","50,00%"
18214,29/05/2014,15/01/2016,"6093,2",5,"40,00%","0,00%","60,00%"
12285,30/05/2014,15/08/2016,"8358,23",4,"50,00%","0,00%","50,00%"
28673,30/05/2014,13/02/2016,"4380,1",4,"50,00%","25,00%","25,00%"
14634,30/05/2014,27/07/2016,"1538,5782",3,"66,67%","33,33%","0,00%"
18242,30/05/2014,29/01/2016,"6121,71",5,"40,00%","20,00%","40,00%"
18252,30/05/2014,12/02/2016,"6021,62",2,"100,00%","0,00%","0,00%"
18202,30/05/2014,19/11/2016,"4143,26",2,"100,00%","0,00%","0,00%"
12383,01/06/2014,09/08/2016,"12858,23",2,"100,00%","0,00%","0,00%"
28829,01/06/2014,01/06/2014,"3578,27",1,"100,00%","0,00%","0,00%"
29011,01/06/2014,24/06/2016,"4334,6",4,"50,00%","0,00%","50,00%"
18452,01/06/2014,12/11/2016,"4752,75",3,"66,67%","33,33%","0,00%"
11365,01/06/2014,24/12/2016,"5918,26",7,"42,86%","28,57%","28,57%"
13836,02/06/2014,26/06/2016,"7958,31",4,"50,00%","0,00%","50,00%"
20552,02/06/2014,05/12/2016,"3733,1664",4,"50,00%","0,00%","50,00%"
29126,02/06/2014,02/06/2014,"7156,54",1,"100,00%","0,00%","0,00%"
22732,02/06/2014,07/12/2016,"9376,42",4,"50,00%","0,00%","50,00%"
28988,02/06/2014,02/06/2014,"7156,54",1,"100,00%","0,00%","0,00%"
18695,02/06/2014,26/03/2016,"9607,84",3,"66,67%","0,00%","33,33%"
18281,02/06/2014,19/09/2016,"9659,37",4,"50,00%","25,00%","25,00%"
11444,02/06/2014,04/06/2016,"18641,89",5,"60,00%","0,00%","40,00%"
12321,03/06/2014,24/11/2016,"35891,62",15,"33,33%","13,33%","53,33%"
14777,03/06/2014,25/10/2016,19003,5,"40,00%","0,00%","60,00%"
28827,03/06/2014,03/06/2014,"14313,08",1,"100,00%","0,00%","0,00%"
28853,03/06/2014,03/06/2014,"14313,08",1,"100,00%","0,00%","0,00%"
25972,03/06/2014,22/07/2016,"15905,96",5,"40,00%","0,00%","60,00%"
25975,03/06/2014,17/07/2016,16007,5,"40,00%","20,00%","40,00%"
18486,03/06/2014,04/03/2016,"16756,43",2,"100,00%","0,00%","0,00%"
18488,03/06/2014,05/03/2016,"16791,42",3,"66,67%","0,00%","33,33%"
18694,03/06/2014,04/03/2016,"16770,41",4,"50,00%","0,00%","50,00%"
18309,03/06/2014,02/02/2016,"16825,4",5,"40,00%","0,00%","60,00%"
12308,04/06/2014,22/11/2016,"20536,89",14,"35,71%","21,43%","42,86%"
25973,04/06/2014,10/07/2016,"5793,05",3,"66,67%","0,00%","33,33%"
28997,04/06/2014,04/06/2014,"3578,27",1,"100,00%","0,00%","0,00%"
14643,04/06/2014,21/08/2016,"1613,0582",5,"40,00%","60,00%","0,00%"
18337,04/06/2014,05/12/2016,"6021,62",2,"100,00%","0,00%","0,00%"
29467,05/06/2014,05/06/2014,"3374,99",1,"100,00%","0,00%","0,00%"
28804,05/06/2014,05/06/2014,"3578,27",1,"100,00%","0,00%","0,00%"
28842,05/06/2014,13/03/2016,"4393,58",6,"33,33%","33,33%","33,33%"
25952,05/06/2014,13/09/2016,"4598,83",3,"66,67%","33,33%","0,00%"
18338,05/06/2014,14/12/2016,"13763,51",6,"33,33%","16,67%","50,00%"
18465,05/06/2014,20/12/2016,"5927,23",3,"66,67%","33,33%","0,00%"
13808,06/06/2014,24/05/2016,"6892,15",4,"50,00%","50,00%","0,00%"
14138,06/06/2014,05/06/2016,"4444,22",5,"40,00%","40,00%","20,00%"
28825,06/06/2014,06/06/2014,"3578,27",1,"100,00%","0,00%","0,00%"
28857,06/06/2014,06/06/2014,"3578,27",1,"100,00%","0,00%","0,00%"
18335,06/06/2014,23/11/2016,"8492,93",4,"50,00%","0,00%","50,00%"
14140,07/06/2014,04/07/2016,"5217,23",3,"66,67%","33,33%","0,00%"
29058,07/06/2014,07/06/2014,"3578,27",1,"100,00%","0,00%","0,00%"
29139,07/06/2014,07/06/2014,"3578,27",1,"100,00%","0,00%","0,00%"
28845,07/06/2014,30/04/2016,"4320,62",2,"100,00%","0,00%","0,00%"
18334,07/06/2014,01/11/2016,"4698,76",2,"100,00%","0,00%","0,00%"
11445,07/06/2014,30/06/2016,"8098,03",5,"60,00%","0,00%","40,00%"
28418,08/06/2014,25/09/2016,"4539,46",4,"50,00%","25,00%","25,00%"
17996,08/06/2014,01/10/2016,"2454,0782",3,"66,67%","33,33%","0,00%"
19417,08/06/2014,08/01/2016,"1854,5782",3,"66,67%","0,00%","33,33%"
22299,08/06/2014,30/10/2016,"4145,54",4,"50,00%","0,00%","50,00%"
29128,08/06/2014,03/06/2016,"4349,61",3,"66,67%","0,00%","33,33%"
19874,08/06/2014,10/07/2016,"4544,45",5,"40,00%","0,00%","60,00%"
29004,08/06/2014,28/05/2016,"4320,62",2,"100,00%","0,00%","0,00%"
26692,08/06/2014,09/10/2016,"1266,8582",5,"40,00%","0,00%","60,00%"
14651,08/06/2014,15/08/2016,"2478,0382",4,"50,00%","50,00%","0,00%"
18484,08/06/2014,09/02/2016,"6093,2",5,"40,00%","0,00%","60,00%"
18487,08/06/2014,20/03/2016,"6021,62",2,"100,00%","0,00%","0,00%"
18495,08/06/2014,19/03/2016,"6021,62",2,"100,00%","0,00%","0,00%"
18693,08/06/2014,19/03/2016,"6021,62",2,"100,00%","0,00%","0,00%"
18288,08/06/2014,09/02/2016,"6093,2",5,"40,00%","0,00%","60,00%"
18457,08/06/2014,09/12/2016,"4826,23",6,"33,33%","16,67%","50,00%"
18467,08/06/2014,04/01/2016,"5279,26",2,"100,00%","0,00%","0,00%"
11364,08/06/2014,28/12/2016,"7953,35",4,"75,00%","0,00%","25,00%"
11372,08/06/2014,16/12/2016,"5805,29",5,"60,00%","20,00%","20,00%"
11443,08/06/2014,03/10/2016,8235,8,"37,50%","12,50%","50,00%"
14793,09/06/2014,24/10/2016,"9526,51",5,"40,00%","0,00%","60,00%"
28852,09/06/2014,09/06/2014,"7156,54",1,"100,00%","0,00%","0,00%"
18700,09/06/2014,07/02/2016,"8906,5",5,"40,00%","0,00%","60,00%"
18301,09/06/2014,01/02/2016,"9634,88",3,"66,67%","0,00%","33,33%"
11363,09/06/2014,20/12/2016,"9178,15",5,"60,00%","40,00%","0,00%"
29111,10/06/2014,09/06/2016,"15124,4",5,"40,00%","0,00%","60,00%"
28828,10/06/2014,17/03/2016,"15064,42",3,"66,67%","33,33%","0,00%"
18004,11/06/2014,02/05/2016,"2338,0582",3,"66,67%","33,33%","0,00%"
29048,11/06/2014,23/06/2016,"4355,61",3,"66,67%","0,00%","33,33%"
29056,11/06/2014,11/06/2014,"3578,27",1,"100,00%","0,00%","0,00%"
29136,11/06/2014,11/06/2014,"3578,27",1,"100,00%","0,00%","0,00%"
28807,11/06/2014,11/06/2014,"3578,27",1,"100,00%","0,00%","0,00%"
28833,11/06/2014,11/06/2014,"3578,27",1,"100,00%","0,00%","0,00%"
18470,11/06/2014,03/02/2016,"8464,97",2,"100,00%","0,00%","0,00%"
18496,11/06/2014,19/03/2016,"6121,71",5,"40,00%","20,00%","40,00%"
18703,11/06/2014,30/03/2016,"5314,25",3,"66,67%","0,00%","33,33%"
18296,11/06/2014,20/02/2016,"6117,69",6,"33,33%","16,67%","50,00%"
18308,11/06/2014,07/02/2016,"6037,89",5,"40,00%","0,00%","60,00%"
14833,12/06/2014,11/11/2016,"6679,6",5,"60,00%","0,00%","40,00%"
29108,12/06/2014,12/06/2014,"3578,27",1,"100,00%","0,00%","0,00%"
28821,12/06/2014,12/06/2014,"3578,27",1,"100,00%","0,00%","0,00%"
28838,12/06/2014,12/06/2014,"3578,27",1,"100,00%","0,00%","0,00%"
11351,13/06/2014,29/08/2016,"10466,08",5,"60,00%","0,00%","40,00%"
11381,13/06/2014,19/08/2016,"8161,02",5,"60,00%","0,00%","40,00%"
28847,13/06/2014,14/04/2016,"4355,61",3,"66,67%","0,00%","33,33%"
22267,13/06/2014,03/10/2016,"4167,23",5,"40,00%","20,00%","40,00%"
28856,13/06/2014,13/06/2014,"3578,27",1,"100,00%","0,00%","0,00%"
25943,13/06/2014,13/07/2016,"5808,03",5,"40,00%","0,00%","60,00%"
25951,13/06/2014,30/09/2016,"4703,31",5,"40,00%","40,00%","20,00%"
25964,13/06/2014,20/09/2016,"4649,83",3,"66,67%","0,00%","33,33%"
18696,13/06/2014,07/03/2016,"8720,87",7,"28,57%","28,57%","42,86%"
18307,13/06/2014,11/02/2016,"13351,67",2,"100,00%","0,00%","0,00%"
11353,13/06/2014,09/08/2016,"15257,2",6,"50,00%","16,67%","33,33%"
14778,14/06/2014,20/11/2016,"7423,83",7,"42,86%","0,00%","57,14%"
12332,14/06/2014,26/06/2016,"13271,76",10,"40,00%","0,00%","60,00%"
13829,14/06/2014,06/05/2016,"4380,04",4,"50,00%","0,00%","50,00%"
18284,14/06/2014,29/02/2016,"6029,57",3,"66,67%","0,00%","33,33%"
11359,14/06/2014,06/12/2016,"5718,69",8,"37,50%","0,00%","62,50%"
13822,15/06/2014,19/10/2016,"15358,03",7,"42,86%","0,00%","57,14%"
14832,15/06/2014,13/11/2016,"5938,24",4,"50,00%","0,00%","50,00%"
19415,15/06/2014,26/12/2016,"2435,0782",3,"66,67%","0,00%","33,33%"
29032,15/06/2014,13/06/2016,"4389,59",5,"40,00%","0,00%","60,00%"
28840,15/06/2014,03/03/2016,"4399,1",4,"50,00%","50,00%","0,00%"
25969,15/06/2014,17/10/2016,"4649,83",3,"66,67%","0,00%","33,33%"
25976,15/06/2014,25/07/2016,"8143,13",2,"100,00%","0,00%","0,00%"
28966,15/06/2014,15/06/2014,"3578,27",1,"100,00%","0,00%","0,00%"
18468,15/06/2014,07/01/2016,"10598,19",3,"66,67%","33,33%","0,00%"
18491,15/06/2014,30/03/2016,"6056,61",3,"66,67%","0,00%","33,33%"
18461,15/06/2014,09/12/2016,"4748,24",4,"50,00%","25,00%","25,00%"
18463,15/06/2014,04/12/2016,"4726,04",4,"50,00%","0,00%","50,00%"
13842,16/06/2014,23/06/2016,7983,4,"50,00%","0,00%","50,00%"
29466,16/06/2014,16/06/2014,"6749,98",1,"100,00%","0,00%","0,00%"
29017,16/06/2014,16/06/2014,"7156,54",1,"100,00%","0,00%","0,00%"
14648,16/06/2014,03/07/2016,"3723,1164",4,"50,00%","0,00%","50,00%"
18489,16/06/2014,03/03/2016,"9659,37",4,"50,00%","25,00%","25,00%"
18277,16/06/2014,10/09/2016,"9648,86",5,"40,00%","0,00%","60,00%"
18336,16/06/2014,21/12/2016,"17423,74",7,"28,57%","28,57%","42,86%"
28830,17/06/2014,17/06/2014,"14313,08",1,"100,00%","0,00%","0,00%"
18493,17/06/2014,20/03/2016,"16764,38",3,"66,67%","0,00%","33,33%"
25706,17/06/2014,06/11/2016,"3336,3828",2,"100,00%","0,00%","0,00%"
11448,17/06/2014,23/06/2016,"18256,98",7,"42,86%","28,57%","28,57%"
14843,18/06/2014,29/11/2016,"6690,58",6,"50,00%","0,00%","50,00%"
12398,18/06/2014,20/09/2016,"6498,72",6,"50,00%","0,00%","50,00%"
29110,18/06/2014,18/06/2014,"3578,27",1,"100,00%","0,00%","0,00%"
28849,18/06/2014,18/06/2014,"3578,27",1,"100,00%","0,00%","0,00%"
18303,18/06/2014,23/02/2016,"6030,61",3,"66,67%","0,00%","33,33%"
18276,18/06/2014,02/09/2016,"6106,6",4,"50,00%","25,00%","25,00%"
14771,19/06/2014,19/10/2016,"14510,85",6,"50,00%","0,00%","50,00%"
12333,19/06/2014,07/06/2016,"13202,17",11,"36,36%","36,36%","27,27%"
29044,19/06/2014,06/06/2016,"4320,62",2,"100,00%","0,00%","0,00%"
22251,19/06/2014,25/08/2016,"5971,33",3,"66,67%","33,33%","0,00%"
28851,19/06/2014,19/06/2014,"3578,27",1,"100,00%","0,00%","0,00%"
28993,19/06/2014,19/06/2014,"3578,27",1,"100,00%","0,00%","0,00%"
18490,19/06/2014,27/03/2016,"6029,57",3,"66,67%","0,00%","33,33%"
18697,19/06/2014,07/01/2016,"10382,23",2,"100,00%","0,00%","0,00%"
18701,19/06/2014,12/02/2016,"5357,74",4,"50,00%","50,00%","0,00%"
25568,19/06/2014,18/10/2016,"1807,0382",4,"50,00%","0,00%","50,00%"
25707,19/06/2014,01/11/2016,"1262,0582",5,"40,00%","20,00%","40,00%"
25710,19/06/2014,30/11/2016,"2859,0582",2,"100,00%","0,00%","0,00%"
11357,19/06/2014,01/11/2016,"4943,8",5,"60,00%","0,00%","40,00%"
11446,19/06/2014,23/06/2016,"8237,01",7,"42,86%","28,57%","28,57%"
12395,20/06/2014,27/09/2016,"5968,25",4,"50,00%","0,00%","50,00%"
29474,20/06/2014,20/06/2014,"3374,99",1,"100,00%","0,00%","0,00%"
28835,20/06/2014,20/06/2014,"3578,27",1,"100,00%","0,00%","0,00%"
28843,20/06/2014,20/06/2014,"3578,27",1,"100,00%","0,00%","0,00%"
25955,20/06/2014,09/09/2016,"4643,83",3,"66,67%","33,33%","0,00%"
28859,20/06/2014,30/05/2016,"5132,95",3,"66,67%","0,00%","33,33%"
28990,20/06/2014,20/06/2014,"3578,27",1,"100,00%","0,00%","0,00%"
25709,20/06/2014,24/11/2016,"3134,9382",5,"40,00%","0,00%","60,00%"
11449,20/06/2014,26/06/2016,"8130,32",7,"42,86%","14,29%","42,86%"
22247,21/06/2014,15/07/2016,"5978,61",5,"40,00%","0,00%","60,00%"
20173,21/06/2014,16/04/2016,"3181,3282",5,"40,00%","0,00%","60,00%"
29019,21/06/2014,04/06/2016,"4355,61",3,"66,67%","0,00%","33,33%"
22373,21/06/2014,03/09/2016,"5976,32",4,"50,00%","0,00%","50,00%"
29060,21/06/2014,21/06/2014,"3578,27",1,"100,00%","0,00%","0,00%"
28831,21/06/2014,21/06/2014,"3578,27",1,"100,00%","0,00%","0,00%"
25974,21/06/2014,21/07/2016,"5819,05",3,"66,67%","0,00%","33,33%"
14647,21/06/2014,24/08/2016,"1588,5682",4,"50,00%","50,00%","0,00%"
14649,21/06/2014,03/08/2016,"1601,5582",5,"40,00%","60,00%","0,00%"
18458,21/06/2014,15/12/2016,"4733,75",3,"66,67%","0,00%","33,33%"
14794,22/06/2014,15/11/2016,"5873,26",2,"100,00%","0,00%","0,00%"
19365,22/06/2014,23/12/2016,"4321,8882",8,"37,50%","25,00%","37,50%"
22713,22/06/2014,27/12/2016,"4718,11",4,"50,00%","0,00%","50,00%"
28820,22/06/2014,22/06/2014,"3578,27",1,"100,00%","0,00%","0,00%"
28989,22/06/2014,22/06/2014,"3578,27",1,"100,00%","0,00%","0,00%"
29016,22/06/2014,22/06/2014,"3578,27",1,"100,00%","0,00%","0,00%"
18482,22/06/2014,08/02/2016,"6030,61",3,"66,67%","0,00%","33,33%"
14776,23/06/2014,09/10/2016,"9486,52",3,"66,67%","0,00%","33,33%"
28823,23/06/2014,23/06/2014,"7156,54",1,"100,00%","0,00%","0,00%"
28824,23/06/2014,23/06/2014,"7156,54",1,"100,00%","0,00%","0,00%"
29010,23/06/2014,23/06/2014,"7156,54",1,"100,00%","0,00%","0,00%"
14652,23/06/2014,28/08/2016,"2227,1664",4,"50,00%","25,00%","25,00%"
18469,23/06/2014,18/02/2016,"16929,94",2,"100,00%","0,00%","0,00%"
18699,23/06/2014,04/02/2016,"14076,42",4,"50,00%","0,00%","50,00%"
18462,23/06/2014,14/12/2016,"11854,46",3,"66,67%","33,33%","0,00%"
29132,24/06/2014,24/06/2014,"14313,08",1,"100,00%","0,00%","0,00%"
22252,24/06/2014,01/08/2016,"19251,18",4,"50,00%","25,00%","25,00%"
29008,24/06/2014,24/06/2014,"14313,08",1,"100,00%","0,00%","0,00%"
18692,24/06/2014,01/03/2016,"24142,4",4,"50,00%","0,00%","50,00%"
25708,24/06/2014,29/11/2016,"3350,3628",4,"50,00%","0,00%","50,00%"
12323,25/06/2014,16/05/2016,"13181,16",11,"36,36%","9,09%","54,55%"
17999,25/06/2014,04/10/2016,"4209,0582",3,"66,67%","33,33%","0,00%"
28854,25/06/2014,09/05/2016,"5132,95",3,"66,67%","0,00%","33,33%"
14645,25/06/2014,18/08/2016,"1538,5782",3,"66,67%","33,33%","0,00%"
18698,25/06/2014,23/01/2016,"5314,25",3,"66,67%","0,00%","33,33%"
18464,25/06/2014,19/12/2016,"4698,76",2,"100,00%","0,00%","0,00%"
11368,25/06/2014,03/12/2016,"5106,24",11,"27,27%","27,27%","45,45%"
28805,26/06/2014,26/06/2014,"3578,27",1,"100,00%","0,00%","0,00%"
28841,26/06/2014,18/03/2016,"4334,6",4,"50,00%","0,00%","50,00%"
25970,26/06/2014,26/10/2016,"8290,31",4,"50,00%","0,00%","50,00%"
28870,26/06/2014,07/05/2016,"4334,6",4,"50,00%","0,00%","50,00%"
14646,26/06/2014,03/08/2016,"1538,5582",5,"40,00%","0,00%","60,00%"
18485,26/06/2014,29/02/2016,"6063,21",4,"50,00%","25,00%","25,00%"
18297,26/06/2014,29/02/2016,"6119,59",5,"40,00%","40,00%","20,00%"
18302,26/06/2014,09/02/2016,"6029,57",3,"66,67%","0,00%","33,33%"
13844,27/06/2014,04/06/2016,"4355,71",3,"66,67%","0,00%","33,33%"
29059,27/06/2014,27/06/2014,"3578,27",1,"100,00%","0,00%","0,00%"
29106,27/06/2014,27/06/2014,"3578,27",1,"100,00%","0,00%","0,00%"
28844,27/06/2014,24/03/2016,"4337,56",4,"50,00%","0,00%","50,00%"
12373,28/06/2014,18/08/2016,"5937,73",5,"40,00%","20,00%","40,00%"
14137,28/06/2014,30/06/2016,"4397,75",3,"66,67%","33,33%","0,00%"
14831,28/06/2014,16/11/2016,"8247,19",5,"40,00%","20,00%","40,00%"
19387,28/06/2014,21/12/2016,"7758,9382",5,"40,00%","0,00%","60,00%"
28869,28/06/2014,05/05/2016,"4355,61",3,"66,67%","0,00%","33,33%"
22268,28/06/2014,27/08/2016,"6031,31",5,"40,00%","0,00%","60,00%"
14650,28/06/2014,21/08/2016,"1538,5782",3,"66,67%","33,33%","0,00%"
18483,28/06/2014,17/02/2016,"8534,95",3,"66,67%","0,00%","33,33%"
25705,28/06/2014,29/11/2016,"1274,0782",3,"66,67%","0,00%","33,33%"
11360,28/06/2014,24/12/2016,"5874,27",6,"50,00%","33,33%","16,67%"
14770,29/06/2014,13/10/2016,"7450,93",5,"60,00%","0,00%","40,00%"
28826,29/06/2014,29/06/2014,"3578,27",1,"100,00%","0,00%","0,00%"
18494,29/06/2014,11/03/2016,"6037,89",5,"40,00%","0,00%","60,00%"
18691,29/06/2014,22/03/2016,"13547,55",5,"40,00%","0,00%","60,00%"
18332,29/06/2014,25/11/2016,"4752,75",3,"66,67%","33,33%","0,00%"
11358,29/06/2014,17/11/2016,"7468,74",8,"37,50%","25,00%","37,50%"
11447,29/06/2014,02/06/2016,"8078,02",6,"50,00%","16,67%","33,33%"
13807,29/06/2014,04/04/2016,"4506,76",3,"66,67%","0,00%","33,33%"
29475,30/06/2014,30/06/2014,"6799,98",1,"100,00%","0,00%","0,00%"
29070,30/06/2014,30/06/2014,"7156,54",1,"100,00%","0,00%","0,00%"
25962,30/06/2014,08/07/2016,"9219,04",3,"66,67%","0,00%","33,33%"
28871,30/06/2014,01/05/2016,"7992,86",5,"40,00%","40,00%","20,00%"
18702,30/06/2014,29/02/2016,"8911,52",3,"66,67%","33,33%","0,00%"
18331,30/06/2014,21/11/2016,"8331,02",3,"66,67%","33,33%","0,00%"
11450,30/06/2014,19/06/2016,"11548,25",9,"33,33%","11,11%","55,56%"
14792,30/06/2014,30/10/2016,"16648,05",4,"50,00%","0,00%","50,00%"
14139,30/06/2014,28/06/2016,"15952,04",3,"66,67%","33,33%","0,00%"
29138,30/06/2014,18/06/2016,"15109,42",3,"66,67%","33,33%","0,00%"
28822,30/06/2014,30/06/2014,"14313,08",1,"100,00%","0,00%","0,00%"
28839,30/06/2014,30/06/2014,"14313,08",1,"100,00%","0,00%","0,00%"
28846,30/06/2014,01/04/2016,"15055,43",2,"100,00%","0,00%","0,00%"
25704,30/06/2014,04/10/2016,"3876,3728",2,"100,00%","0,00%","0,00%"
12494,01/07/2014,24/10/2016,"5948,23",5,"40,00%","0,00%","60,00%"
29255,01/07/2014,14/09/2016,"5200,91",5,"40,00%","0,00%","60,00%"
14657,01/07/2014,09/07/2016,"3076,0582",4,"50,00%","0,00%","50,00%"
26782,01/07/2014,01/07/2014,"699,0982",1,"100,00%","0,00%","0,00%"
11455,01/07/2014,02/06/2016,"10462,02",5,"60,00%","40,00%","0,00%"
14947,02/07/2014,10/11/2016,"13543,55",6,"50,00%","16,67%","33,33%"
29143,02/07/2014,02/07/2014,"3578,27",1,"100,00%","0,00%","0,00%"
18746,02/07/2014,07/03/2016,"8691,91",5,"40,00%","40,00%","20,00%"
18747,02/07/2014,18/03/2016,"6089,59",5,"40,00%","20,00%","40,00%"
11388,03/07/2014,28/04/2016,"6986,75",7,"42,86%","14,29%","42,86%"
11398,03/07/2014,03/08/2016,"8114,04",4,"75,00%","0,00%","25,00%"
25977,03/07/2014,06/10/2016,"4624,83",3,"66,67%","0,00%","33,33%"
29170,03/07/2014,03/07/2014,"3578,27",1,"100,00%","0,00%","0,00%"
18909,03/07/2014,30/03/2016,"6035,6",4,"50,00%","0,00%","50,00%"
18899,03/07/2014,19/01/2016,"4118,26",2,"100,00%","0,00%","0,00%"
18906,03/07/2014,02/01/2016,"4217,22",6,"33,33%","16,67%","50,00%"
22785,03/07/2014,05/01/2016,"6029,57",3,"66,67%","0,00%","33,33%"
11394,04/07/2014,03/08/2016,"8161,97",7,"42,86%","0,00%","57,14%"
12483,04/07/2014,18/09/2016,"5898,26",2,"100,00%","0,00%","0,00%"
29151,04/07/2014,04/07/2014,"3578,27",1,"100,00%","0,00%","0,00%"
29167,04/07/2014,30/07/2016,"4364,84",6,"33,33%","0,00%","66,67%"
29174,04/07/2014,20/07/2016,"4334,6",4,"50,00%","0,00%","50,00%"
19428,05/07/2014,13/01/2016,"3058,0382",4,"50,00%","50,00%","0,00%"
22748,05/07/2014,29/12/2016,"4188,24",4,"50,00%","0,00%","50,00%"
29274,05/07/2014,05/10/2016,"7183,67",3,"66,67%","0,00%","33,33%"
29140,06/07/2014,06/07/2014,"7156,54",1,"100,00%","0,00%","0,00%"
29142,06/07/2014,06/07/2014,"7156,54",1,"100,00%","0,00%","0,00%"
22765,06/07/2014,13/09/2016,"9556,88",5,"40,00%","0,00%","60,00%"
19987,06/07/2014,04/07/2016,"9128,9",5,"40,00%","0,00%","60,00%"
29275,06/07/2014,02/10/2016,"7907,88",3,"66,67%","33,33%","0,00%"
22975,06/07/2014,06/07/2014,"7156,54",1,"100,00%","0,00%","0,00%"
14937,07/07/2014,12/11/2016,"17387,7",5,"60,00%","0,00%","40,00%"
18710,07/07/2014,18/03/2016,"16833,39",6,"33,33%","33,33%","33,33%"
25713,07/07/2014,11/11/2016,"3385,3528",5,"40,00%","0,00%","60,00%"
20558,07/07/2014,14/12/2016,"12076,3528",2,"100,00%","0,00%","0,00%"
29141,08/07/2014,08/07/2014,"3578,27",1,"100,00%","0,00%","0,00%"
29146,08/07/2014,08/07/2014,"3578,27",1,"100,00%","0,00%","0,00%"
25984,08/07/2014,02/10/2016,"4624,83",3,"66,67%","0,00%","33,33%"
29204,08/07/2014,08/07/2016,"4320,62",2,"100,00%","0,00%","0,00%"
14727,08/07/2014,14/08/2016,"1563,0682",4,"50,00%","50,00%","0,00%"
18722,08/07/2014,20/03/2016,"5333,25",3,"66,67%","33,33%","0,00%"
18740,08/07/2014,12/03/2016,"6056,61",3,"66,67%","0,00%","33,33%"
11751,08/07/2014,18/07/2016,"10599,09",6,"50,00%","16,67%","33,33%"
29169,09/07/2014,09/07/2014,"3578,27",1,"100,00%","0,00%","0,00%"
29236,09/07/2014,27/08/2016,"4329,61",3,"66,67%","33,33%","0,00%"
22971,09/07/2014,09/07/2014,"3578,27",1,"100,00%","0,00%","0,00%"
18725,09/07/2014,27/03/2016,"6044,59",5,"40,00%","20,00%","40,00%"
18708,09/07/2014,10/03/2016,"6056,51",4,"50,00%","0,00%","50,00%"
12480,10/07/2014,28/09/2016,"8238,23",3,"66,67%","0,00%","33,33%"
29158,10/07/2014,10/07/2014,"3578,27",1,"100,00%","0,00%","0,00%"
18726,10/07/2014,05/03/2016,"5314,25",3,"66,67%","0,00%","33,33%"
11759,10/07/2014,10/07/2016,"14939,02",3,"100,00%","0,00%","0,00%"
14975,11/07/2014,07/11/2016,"5957,22",6,"33,33%","16,67%","50,00%"
25979,11/07/2014,13/07/2016,"5784,06",2,"100,00%","0,00%","0,00%"
25985,11/07/2014,26/10/2016,"8510,27",5,"40,00%","0,00%","60,00%"
29163,11/07/2014,11/07/2014,"3578,27",1,"100,00%","0,00%","0,00%"
22895,11/07/2014,01/02/2016,"6029,57",3,"66,67%","0,00%","33,33%"
29264,11/07/2014,07/10/2016,"4384,59",5,"40,00%","20,00%","40,00%"
19084,11/07/2014,08/04/2016,"6093,2",5,"40,00%","0,00%","60,00%"
18735,11/07/2014,02/03/2016,"6021,62",2,"100,00%","0,00%","0,00%"
11452,11/07/2014,14/06/2016,"10576,1",5,"60,00%","20,00%","20,00%"
12468,12/07/2014,20/09/2016,"5875,55",3,"66,67%","0,00%","33,33%"
12485,12/07/2014,26/09/2016,"5923,49",6,"33,33%","0,00%","66,67%"
29222,12/07/2014,18/08/2016,"4374,61",3,"66,67%","33,33%","0,00%"
22901,12/07/2014,09/11/2016,"8364,39",3,"66,67%","33,33%","0,00%"
29278,12/07/2014,21/10/2016,"4355,61",3,"66,67%","0,00%","33,33%"
19093,12/07/2014,02/04/2016,"6035,6",4,"50,00%","0,00%","50,00%"
18716,12/07/2014,03/03/2016,"6021,62",2,"100,00%","0,00%","0,00%"
14950,13/07/2014,19/12/2016,"12616,85",6,"50,00%","0,00%","50,00%"
29166,13/07/2014,03/06/2016,"7912,87",4,"50,00%","0,00%","50,00%"
14656,13/07/2014,14/07/2016,"3783,1564",5,"40,00%","20,00%","40,00%"
14941,14/07/2014,29/11/2016,"18386,71",7,"42,86%","14,29%","42,86%"
25980,14/07/2014,10/07/2016,"16019,02",3,"66,67%","0,00%","33,33%"
29202,14/07/2014,21/07/2016,"15055,43",2,"100,00%","0,00%","0,00%"
29276,14/07/2014,23/10/2016,"15064,42",3,"66,67%","33,33%","0,00%"
19089,14/07/2014,25/04/2016,"16828,01",5,"40,00%","0,00%","60,00%"
18767,14/07/2014,22/04/2016,"16049,06",3,"66,67%","0,00%","33,33%"
18900,14/07/2014,25/01/2016,"14867,05",4,"50,00%","0,00%","50,00%"
11465,14/07/2014,14/07/2016,"25317,98",4,"75,00%","25,00%","0,00%"
11750,14/07/2014,03/10/2016,"18347,99",6,"50,00%","0,00%","50,00%"
28419,15/07/2014,18/09/2016,"4564,46",4,"50,00%","25,00%","25,00%"
11400,15/07/2014,20/07/2016,"6967,78",8,"37,50%","37,50%","25,00%"
14984,15/07/2014,30/12/2016,"6699,57",7,"42,86%","14,29%","42,86%"
25978,15/07/2014,22/07/2016,"5813,05",3,"66,67%","33,33%","0,00%"
